"filter_sal","MPG","PPG","APG","RPG","TOPG","BPG","SPG","Trusted","Agressiveness"
14500000,34.1612903225806,20.3870967741935,6.12903225806452,4.03225806451613,3.54838709677419,0.612903225806452,2.03225806451613,"Yes","Yes"
12943020,32.9111111111111,15.2444444444444,2.68888888888889,2.2,1.62222222222222,0.311111111111111,0.955555555555556,"Yes","Yes"
1739333,6,1,0.125,1.375,0.375,0.5,0,"No","No"
502328,25.4189189189189,10.3648648648649,0.905405405405405,5.44594594594595,0.959459459459459,0.445945945945946,0.702702702702703,"Yes","No"
6e+06,25.4189189189189,10.3648648648649,0.905405405405405,5.44594594594595,0.959459459459459,0.445945945945946,0.702702702702703,"Yes","No"
1.7e+07,32.4810126582278,15.3544303797468,2.69620253164557,2.84810126582278,1.68354430379747,0.0253164556962025,1.21518987341772,"Yes","Yes"
17131148,28.037037037037,10.5432098765432,4.4320987654321,4.90123456790123,2.08641975308642,0.345679012345679,0.987654320987654,"Yes","Yes"
333334,16.7391304347826,6.95652173913043,0.695652173913043,5.58695652173913,0.826086956521739,1.08695652173913,0.391304347826087,"No","No"
2847600,21.0864197530864,7.48148148148148,1.20987654320988,4.1358024691358,0.716049382716049,0.530864197530864,0.469135802469136,"No","No"
8e+06,24.3875,7.275,1.75,2.65,0.8,0.225,0.8625,"Yes","No"
2550055,32.0921052631579,12.2631578947368,1.93421052631579,2.89473684210526,1.28947368421053,0.236842105263158,1.27631578947368,"Yes","No"
2e+07,34.1081081081081,12.0810810810811,3.5,4.02702702702703,1.36486486486486,0.22972972972973,1.12162162162162,"Yes","Yes"
947248,22.5652173913043,8.92753623188406,0.811594202898551,2.36231884057971,0.666666666666667,0.27536231884058,0.550724637681159,"No","No"
1e+06,19.875,8.66666666666667,1.04166666666667,2.93055555555556,0.944444444444444,0.263888888888889,0.541666666666667,"No","No"
22471910,35.2875,16.875,4.3125,7.65,2.6,1.4125,1.175,"Yes","Yes"
1524305,11.2888888888889,3.8,0.577777777777778,1.51111111111111,0.4,0.2,0.377777777777778,"No","No"
17000450,32.8194444444444,14.1388888888889,5.81944444444444,3.84722222222222,2.56944444444444,0.236111111111111,0.986111111111111,"Yes","Yes"
29727900,36.1625,19.725,3.7,4.9625,2.525,0.3375,1.1875,"Yes","Yes"
14112360,27.0731707317073,10.0853658536585,1.74390243902439,7.13414634146341,1.70731707317073,1.17073170731707,1.14634146341463,"Yes","Yes"
17884176,29.2911392405063,15.3164556962025,2.25316455696203,8.81012658227848,1.63291139240506,0.848101265822785,0.911392405063291,"Yes","Yes"
5e+06,29.2911392405063,15.3164556962025,2.25316455696203,8.81012658227848,1.63291139240506,0.848101265822785,0.911392405063291,"Yes","Yes"
23112004,30.9393939393939,11.7272727272727,1.77272727272727,4.92424242424242,0.863636363636364,0.151515151515152,0.621212121212121,"Yes","No"
23775506,29.1095890410959,14.2465753424658,0.410958904109589,11.8493150684932,1.87671232876712,3.68493150684932,0.602739726027397,"Yes","Yes"
1577230,8.75757575757576,3.57575757575758,0.96969696969697,1.03030303030303,0.651515151515151,0.196969696969697,0.257575757575758,"No","No"
16661641,25.5774647887324,9.29577464788732,1.46478873239437,7.14084507042254,1.40845070422535,1.05633802816901,0.915492957746479,"Yes","Yes"
10337079,24.3703703703704,5.75925925925926,1.7037037037037,3.75925925925926,1.05555555555556,0.351851851851852,1,"Yes","No"
1069308,25.5324675324675,10.987012987013,1.77922077922078,2.25974025974026,1.18181818181818,0.155844155844156,0.727272727272727,"Yes","No"
